modelo cargado: steps=12000 vocab=2048
b2: modelo+corpus+buffers OK (train=30523204 val=30523204)
PPL inicial: 10.11
== step 1/8000  loss=2.3450  PPL=10.79  (66s) ==
step 209/8000  loss=1.9751
step 210/8000  loss=1.9651
step 211/8000  loss=1.7280
step 212/8000  loss=1.7770
step 213/8000  loss=1.9384
step 214/8000  loss=1.8165
step 215/8000  loss=1.9458
step 216/8000  loss=1.8575
step 217/8000  loss=1.8770
step 218/8000  loss=1.9257
step 219/8000  loss=1.9021
step 220/8000  loss=1.7644
step 221/8000  loss=1.7445
step 222/8000  loss=1.8459
step 223/8000  loss=1.8223
step 224/8000  loss=1.9203
step 225/8000  loss=1.8880
step 226/8000  loss=1.8655
step 227/8000  loss=1.7485
step 228/8000  loss=1.7234
step 229/8000  loss=1.8124
step 230/8000  loss=1.8387
step 231/8000  loss=1.8002
step 232/8000  loss=1.8200
step 233/8000  loss=1.8650
step 234/8000  loss=1.8406
step 235/8000  loss=1.8414
step 236/8000  loss=1.7239
step 237/8000  loss=1.8416
step 238/8000  loss=1.7604
step 239/8000  loss=1.8853
step 240/8000  loss=1.7618
step 241/8000  loss=1.8577
step 242/8000  loss=1.7609
step 243/8000  loss=1.6382
step 244/8000  loss=1.8512
step 245/8000  loss=1.8020
step 246/8000  loss=1.7208
step 247/8000  loss=1.8311
step 248/8000  loss=1.7662
step 249/8000  loss=1.7297
step 250/8000  loss=1.9270
step 251/8000  loss=1.7557
step 252/8000  loss=1.8620
step 253/8000  loss=1.8665
step 254/8000  loss=1.9078
step 255/8000  loss=1.9323
step 256/8000  loss=1.8829
step 257/8000  loss=1.7334
step 258/8000  loss=1.8134
step 259/8000  loss=1.8526
step 260/8000  loss=1.7730
step 261/8000  loss=1.7687
step 262/8000  loss=1.6326
step 263/8000  loss=1.8195
step 264/8000  loss=1.8864
step 265/8000  loss=1.6365
step 266/8000  loss=1.5190
step 267/8000  loss=1.7487
step 268/8000  loss=1.8278
step 269/8000  loss=1.8890
step 270/8000  loss=1.7864
step 271/8000  loss=1.8103
step 272/8000  loss=1.8270
step 273/8000  loss=1.7736
step 274/8000  loss=1.7204
step 275/8000  loss=1.7085
step 276/8000  loss=1.6841
step 277/8000  loss=1.9380
step 278/8000  loss=1.7972
step 279/8000  loss=1.7601
step 280/8000  loss=1.8371
step 281/8000  loss=1.7527
step 282/8000  loss=1.8716
step 283/8000  loss=1.7891
step 284/8000  loss=1.8456
step 285/8000  loss=1.7804
step 286/8000  loss=1.8452
step 287/8000  loss=1.6974
step 288/8000  loss=1.8123
step 289/8000  loss=1.8616
step 290/8000  loss=1.8218
step 291/8000  loss=1.8133
step 292/8000  loss=1.8312
step 293/8000  loss=1.8501
step 294/8000  loss=1.8658
step 295/8000  loss=1.8365
step 296/8000  loss=1.7999
step 297/8000  loss=1.7780
step 298/8000  loss=1.8188
step 299/8000  loss=1.7639
step 300/8000  loss=1.6123
step 301/8000  loss=1.8474
step 302/8000  loss=1.7533
step 303/8000  loss=1.7119
step 304/8000  loss=1.7811
step 305/8000  loss=1.8395
step 306/8000  loss=1.7575
step 307/8000  loss=1.8129
step 308/8000  loss=1.6624
step 309/8000  loss=1.7928
step 310/8000  loss=1.7850
step 311/8000  loss=1.6726
step 312/8000  loss=1.6697
step 313/8000  loss=1.6951
step 314/8000  loss=1.7349
step 315/8000  loss=1.7088
step 316/8000  loss=1.7563
step 317/8000  loss=1.7079
step 318/8000  loss=1.8422
step 319/8000  loss=1.8016
step 320/8000  loss=1.8533
step 321/8000  loss=1.6765
step 322/8000  loss=1.7841
step 323/8000  loss=1.6585
step 324/8000  loss=1.8350
step 325/8000  loss=1.8011
step 326/8000  loss=1.7484
step 327/8000  loss=1.6733
step 328/8000  loss=1.6383
step 329/8000  loss=1.7282
step 330/8000  loss=1.6061
step 331/8000  loss=1.7119
step 332/8000  loss=1.8266
step 333/8000  loss=1.7721
step 334/8000  loss=1.8729
step 335/8000  loss=1.8247
step 336/8000  loss=1.7505
step 337/8000  loss=1.6608
step 338/8000  loss=1.7966
step 339/8000  loss=1.6573
step 340/8000  loss=1.7271
step 341/8000  loss=1.7968
step 342/8000  loss=1.8248
step 343/8000  loss=1.8254
step 344/8000  loss=1.7989
step 345/8000  loss=1.8809
step 346/8000  loss=1.7601
step 347/8000  loss=1.7038
step 348/8000  loss=1.6903
step 349/8000  loss=1.7856
step 350/8000  loss=1.7874
step 351/8000  loss=1.6825
step 352/8000  loss=1.7813
step 353/8000  loss=1.7606
step 354/8000  loss=1.7285
step 355/8000  loss=1.7994
step 356/8000  loss=1.8237
step 357/8000  loss=1.7782
step 358/8000  loss=1.8352
step 359/8000  loss=1.7646
step 360/8000  loss=1.7594
step 361/8000  loss=1.8475
step 362/8000  loss=1.7601
step 363/8000  loss=1.7728
step 364/8000  loss=1.7034
step 365/8000  loss=1.7290
step 366/8000  loss=1.6987
step 367/8000  loss=1.7998
step 368/8000  loss=1.7395
step 369/8000  loss=1.8196
step 370/8000  loss=1.8244
step 371/8000  loss=1.8275
step 372/8000  loss=1.7267
step 373/8000  loss=1.7820
step 374/8000  loss=1.7669
step 375/8000  loss=1.6845
step 376/8000  loss=1.8154
step 377/8000  loss=1.8061
step 378/8000  loss=1.8379
step 379/8000  loss=1.7963
step 380/8000  loss=1.6848
step 381/8000  loss=1.7452
step 382/8000  loss=1.7052
step 383/8000  loss=1.6384
step 384/8000  loss=1.8018
step 385/8000  loss=1.8796
step 386/8000  loss=1.7935
step 387/8000  loss=1.8329
step 388/8000  loss=1.7622
step 389/8000  loss=1.7263
step 390/8000  loss=1.8339
step 391/8000  loss=1.7818
step 392/8000  loss=1.6542
step 393/8000  loss=1.6643
step 394/8000  loss=1.6848
step 395/8000  loss=1.7759
step 396/8000  loss=1.7533
step 397/8000  loss=1.7244
step 398/8000  loss=1.8067
step 399/8000  loss=1.8104
step 400/8000  loss=1.6322
step 401/8000  loss=1.7719
step 402/8000  loss=1.6952
step 403/8000  loss=1.7085
step 404/8000  loss=1.8198
step 405/8000  loss=1.8068
step 406/8000  loss=1.6992
step 407/8000  loss=1.7295
step 408/8000  loss=1.6551
step 409/8000  loss=1.7314
step 410/8000  loss=1.6507
step 411/8000  loss=1.6910
step 412/8000  loss=1.6688
step 413/8000  loss=1.7711
step 414/8000  loss=1.7891
step 415/8000  loss=1.7337
step 416/8000  loss=1.8284
step 417/8000  loss=1.7563
step 418/8000  loss=1.6134
step 419/8000  loss=1.7222
step 420/8000  loss=1.7507
step 421/8000  loss=1.6755
step 422/8000  loss=1.6884
step 423/8000  loss=1.7093
step 424/8000  loss=1.6801
step 425/8000  loss=1.7468
step 426/8000  loss=1.7889
step 427/8000  loss=1.7494
step 428/8000  loss=1.7666
step 429/8000  loss=1.7708
step 430/8000  loss=1.6691
step 431/8000  loss=1.8182
step 432/8000  loss=1.7446
step 433/8000  loss=1.8222
step 434/8000  loss=1.7547
step 435/8000  loss=1.7330
step 436/8000  loss=1.8275
step 437/8000  loss=1.7257
step 438/8000  loss=1.8014
step 439/8000  loss=1.7117
step 440/8000  loss=1.7173
step 441/8000  loss=1.8022
step 442/8000  loss=1.6173
step 443/8000  loss=1.8398
step 444/8000  loss=1.7674
step 445/8000  loss=1.7436
step 446/8000  loss=1.7528
step 447/8000  loss=1.7294
step 448/8000  loss=1.8923
step 449/8000  loss=1.7165
step 450/8000  loss=1.7536
step 451/8000  loss=1.7381
step 452/8000  loss=1.8263
step 453/8000  loss=1.7518
step 454/8000  loss=1.8466
step 455/8000  loss=1.7894
step 456/8000  loss=1.6594
step 457/8000  loss=1.6436
step 458/8000  loss=1.7932
step 459/8000  loss=1.5895
step 460/8000  loss=1.8135
step 461/8000  loss=1.6834
step 462/8000  loss=1.7528
step 463/8000  loss=1.6968
step 464/8000  loss=1.7826
step 465/8000  loss=1.8079
step 466/8000  loss=1.7269
step 467/8000  loss=1.6539
step 468/8000  loss=1.8309
step 469/8000  loss=1.7547
step 470/8000  loss=1.8190
step 471/8000  loss=1.6662
step 472/8000  loss=1.7449
step 473/8000  loss=1.7623
step 474/8000  loss=1.6859
step 475/8000  loss=1.8059
step 476/8000  loss=1.6896
step 477/8000  loss=1.7530
step 478/8000  loss=1.8189
step 479/8000  loss=1.7045
step 480/8000  loss=1.6498
step 481/8000  loss=1.7647
step 482/8000  loss=1.8962
step 483/8000  loss=1.8850
step 484/8000  loss=1.8220
step 485/8000  loss=1.7872
step 486/8000  loss=1.7016
step 487/8000  loss=1.6937
step 488/8000  loss=1.7738
step 489/8000  loss=1.7384
step 490/8000  loss=1.6708
step 491/8000  loss=1.7396
step 492/8000  loss=1.5748
step 493/8000  loss=1.7733
step 494/8000  loss=1.8032
step 495/8000  loss=1.6891
step 496/8000  loss=1.8020
step 497/8000  loss=1.6928
step 498/8000  loss=1.7435
step 499/8000  loss=1.7182
== step 500/8000  loss=1.6461  PPL=5.86  (5661s) ==
step 501/8000  loss=1.7310
step 502/8000  loss=1.7393
step 503/8000  loss=1.7515
step 504/8000  loss=1.6980
step 505/8000  loss=1.7090
step 506/8000  loss=1.7167
step 507/8000  loss=1.7479
step 508/8000  loss=1.7143
step 509/8000  loss=1.8165
step 510/8000  loss=1.6550
step 511/8000  loss=1.7761
step 512/8000  loss=1.8514
step 513/8000  loss=1.6700
step 514/8000  loss=1.6956
step 515/8000  loss=1.6923
step 516/8000  loss=1.6982
step 517/8000  loss=1.7504
step 518/8000  loss=1.7747
step 519/8000  loss=1.7186
step 520/8000  loss=1.7670
step 521/8000  loss=1.7883
step 522/8000  loss=1.7011
step 523/8000  loss=1.8185
step 524/8000  loss=1.8425
step 525/8000  loss=1.7366
step 526/8000  loss=1.6443
step 527/8000  loss=1.7332
step 528/8000  loss=1.7510
step 529/8000  loss=1.8398
step 530/8000  loss=1.7483
step 531/8000  loss=1.7679
step 532/8000  loss=1.7801
step 533/8000  loss=1.6336
step 534/8000  loss=1.7958
step 535/8000  loss=1.8477
step 536/8000  loss=1.7332
step 537/8000  loss=1.7326
step 538/8000  loss=1.7142
step 539/8000  loss=1.7800
step 540/8000  loss=1.7077
step 541/8000  loss=1.6048
step 542/8000  loss=1.7286
step 543/8000  loss=1.7761
step 544/8000  loss=1.6374
step 545/8000  loss=1.8368
step 546/8000  loss=1.7740
step 547/8000  loss=1.7096
step 548/8000  loss=1.6064
step 549/8000  loss=1.7376
step 550/8000  loss=1.7556
step 551/8000  loss=1.7165
step 552/8000  loss=1.7107
step 553/8000  loss=1.5978
step 554/8000  loss=1.8032
